,143766,,
36,100,119613,149922
1,196,119588,149914
576,1024,119664,149951
441,36,119570,149968
36,64,119584,149940
1,0,119634,149921
49,144,119533,149900
256,361,119541,149878
64,16,119570,149875
64,841,119465,149849
484,36,119459,149835
25,169,119523,149637
1225,2916,119328,149683
1369,49,119338,149549
49,529,119421,149429
576,196,119314,149464
0,16,119329,149375
529,1849,119349,149250
400,64,119222,149304
64,0,119243,149329
81,225,119227,149175
100,2116,119219,149303
529,784,119282,149206
1225,256,119222,149088
324,961,119134,149161
1296,784,119202,149119
9,121,119227,149060
289,3249,119118,149154
2304,196,119114,149081
36,36,119227,149015
81,361,119099,149088
121,25,119152,149137
1,9,119218,149098
64,196,119189,149098
49,36,119239,149180
729,2025,119259,149193
1089,100,119261,149150
196,676,119202,149171
225,1,119240,149110
