,139332,,
144,2209,119233,148440
2025,676,119167,148480
121,1,119175,148533
169,841,119241,148486
484,16,119141,148582
121,729,119221,148592
529,100,119268,148510
1,64,119171,148608
64,841,119180,148608
289,16,119250,148504
9,484,119138,148673
961,1681,119252,148658
841,9,119223,148533
100,1089,119164,148656
441,9,119185,148632
64,121,119223,148498
81,9,119213,148621
25,4,119269,148734
169,1225,119262,148747
729,144,119227,148621
121,225,119299,148832
324,484,119319,148773
100,25,119322,148784
64,841,119272,148880
441,36,119309,148747
9,1,119273,148784
64,484,119262,148814
144,36,119292,148865
36,841,119331,148805
729,289,119329,148939
225,361,119375,148990
1089,1849,119409,148955
625,4,119337,148994
9,25,119410,148959
9,1,119351,148963
64,121,119394,149002
100,1089,119398,149069
49,1296,119359,149072
900,81,119409,149057
1089,1764,119451,149173
961,196,119339,149199
676,2116,119455,149164
1156,121,119510,149221
144,529,119339,149239
841,900,119511,149238
324,16,119463,149283
361,2025,119471,149280
625,81,119494,149239
576,676,119441,149184
64,289,119471,149215
225,1,119449,149078
361,3136,119381,149086
3025,961,119328,149030
196,49,119333,148900
121,289,119270,148785
0,441,119312,148787
64,144,119254,148685
64,9,119177,148675
576,2401,119259,148730
729,324,119197,148705
784,361,119214,148748
676,1444,119345,148760
1764,1600,119202,148810
529,0,119248,148791
36,676,119343,148771
225,9,119230,148794
144,1764,119292,148805
2116,1225,119347,148774
196,0,119180,148840
225,1024,119288,148864
400,25,119322,148756
1,36,119207,148867
16,576,119277,148872
256,25,119294,148743
25,625,119225,148820
144,100,119278,148833
121,49,119401,148824
196,2116,119305,148849
1296,25,119438,149052
36,529,119422,149055
361,121,119419,148849
225,400,119438,149073
676,900,119463,149076
256,0,119464,149099
16,169,119451,149149
49,4,119490,149193
100,225,119426,149104
1,676,119470,149208
361,0,119549,149278
4,225,119523,149245
441,529,119517,149323
400,400,119541,149379
1156,1764,119575,149359
324,121,119525,149396
81,16,119673,149422
100,144,119593,149425
4,49,119661,149522
49,529,119734,149522
441,361,119623,149534
324,121,119667,149491
144,361,119674,149584
121,1,119589,149586
225,1089,119739,149623
1024,625,119652,149594
196,100,119720,149681
49,49,119758,149783
144,1,119831,149715
64,25,119726,149822
441,1521,119848,149836
784,121,119876,149778
256,529,119856,149762
625,784,119858,149953
196,9,119908,149902
49,576,119907,149996
225,16,119900,150067
324,1225,119992,150100
961,144,119985,150081
4,121,119978,150178
529,361,120024,150185
0,64,120039,150060
49,16,120020,150177
16,144,120071,150119
9,16,119962,149993
144,729,120014,150065
169,9,120085,150110
64,1,120025,150037
289,1225,120035,150033
576,64,120027,150060
225,576,119916,149942
729,1296,119990,149960
784,36,120008,150017
100,784,119984,150021
289,0,120045,150041
16,81,120075,150164
25,25,119984,150180
0,81,120176,150185
36,729,120172,150253
144,100,120187,150228
4,256,120200,150177
676,900,120146,150208
361,4,120105,150160
361,2025,120096,150056
1225,121,120073,150042
25,64,120067,150083
169,256,120054,149974
9,169,119994,150009
4,961,120026,149955
841,289,119916,149861
1,529,119878,149752
289,169,119956,149709
441,121,119753,149657
400,1225,119754,149580
900,361,119778,149472
100,25,119651,149478
324,1089,119584,149406
361,9,119747,149350
25,576,119628,149452
676,625,119654,149448
64,256,119715,149353
0,1225,119619,149526
784,4,119676,149560
9,49,119787,149451
169,256,119608,149571
49,0,119732,149576
400,1764,119769,149435
529,64,119676,149551
49,49,119681,149528
400,784,119735,149468
256,0,119728,149490
9,169,119788,149635
81,36,119788,149738
121,225,119922,149490
484,961,120018,150151
16,1444,120125,150318
289,1156,120135,150341
1764,484,120232,150570
144,144,120306,150631
576,1600,120337,150585
841,64,120301,150708
289,1225,120365,150727
841,196,120362,150694
4,9,120349,150729
196,1369,120358,150826
729,4,120327,150767
9,144,120388,150752
64,4,120417,150783
4,64,120268,150746
49,841,120340,150672
576,169,120282,150621
196,225,120366,150593
169,256,120305,150561
64,16,120278,150539
16,324,120201,150528
49,81,120272,150362
100,49,120198,150329
25,576,120147,150327
441,121,120169,150162
