,143847,,
100,121,122767,150350
0,81,122660,150513
1296,1764,122577,150242
961,441,122625,150203
9,169,122653,150197
4,441,122657,150297
289,0,122713,150288
144,289,122744,150291
49,1521,122593,150282
784,9,122566,150179
81,529,122519,149945
289,49,122444,150001
1,1,122386,149916
225,961,122312,149851
676,441,122157,149583
729,625,121965,149339
64,49,121758,149110
36,81,121672,148962
729,1024,121509,148802
289,1,121353,148586
49,625,121277,148400
441,225,121190,148274
196,36,121081,148188
144,529,121000,148093
1,576,120963,148142
256,16,121079,148082
729,1936,120953,148011
1296,225,120952,148096
256,576,120954,148042
121,4,120971,148031
49,576,121018,148090
676,121,120954,148079
4,36,120982,147992
1296,2704,120894,148023
841,1,120872,147997
49,25,120844,147938
100,576,120857,148011
64,144,120920,148083
0,961,120996,148030
1600,961,120984,148173
361,0,121046,148220
9,361,120979,148164
25,225,120983,148217
36,256,121069,148205
361,324,121019,148264
324,196,121009,148257
361,625,121032,148234
4,1296,121004,148138
841,25,120914,148094
529,289,121030,148121
4,9,120965,148222
484,2500,121012,148260
1764,576,121180,148307
289,169,121136,148490
256,441,121120,148493
121,81,121180,148359
9,400,121006,148362
900,361,120957,148156
25,36,120873,147860
529,841,120679,147905
144,16,120626,147898
4,196,120655,147696
324,256,120484,147759
9,225,120542,147712
9,729,120568,147577
1156,529,120430,147648
289,49,120370,147495
100,289,120568,147206
49,49,120170,147035
576,961,120007,146878
1156,1225,120028,146757
484,100,119982,146696
841,2209,119985,146747
484,144,119993,146739
49,361,119984,146668
729,121,119970,146695
81,144,120036,146684
196,1296,119994,146675
441,9,120085,146812
441,484,120211,146873
100,1764,120206,147011
900,225,120240,147050
961,2401,120367,147037
1156,196,120298,147116
1,16,120308,147152
81,484,120414,147175
121,25,120401,147306
144,144,120422,147331
169,784,120562,147263
961,256,120470,147382
324,729,120572,147416
169,64,120612,147458
36,16,120598,147589
64,16,120737,147701
169,576,120842,147644
36,121,120790,147926
100,324,121008,148070
1156,1600,121117,148055
676,9,121139,147891
196,400,120959,148247
49,1600,121117,148294
676,9,121317,148170
100,4,121431,148607
400,1681,121553,148686
961,100,121650,148170
400,1681,121676,149015
1225,361,121761,149153
16,121,121852,149078
64,1936,121794,149143
1296,0,121737,149005
81,3025,121625,148882
4489,1444,121528,148829
16,841,121506,148681
81,361,121372,148511
81,25,121218,148381
169,1024,121014,148187
441,16,120828,148007
144,625,120765,147767
121,144,120666,147669
169,0,120503,147472
0,196,120463,147351
529,676,120373,147340
64,64,120364,147271
289,1681,120349,147178
441,36,120462,147320
36,81,120341,147318
729,784,120450,147278
4,900,120463,147411
144,196,120341,147362
441,484,120482,147379
400,361,120462,147420
841,1089,120484,147458
144,49,120521,147445
64,1296,120558,147479
1225,361,120572,147589
49,9,120629,147542
361,1369,120604,147591
625,49,120637,147545
121,324,120589,147457
100,1,120485,147333
16,49,120463,147236
