,111990,140059,
1600,1089,115117,147604
64,100,115113,147601
400,3481,115052,147644
1521,1,115140,147626
100,0,115091,147590
144,576,115083,147664
144,25,115156,147715
121,1369,115176,147629
900,225,115140,147763
9,100,115215,147747
25,100,115222,147723
9,625,115229,147864
49,529,115335,147950
576,169,115316,147947
400,1369,115322,147938
2601,2916,115332,148004
576,121,115307,148035
1,576,115364,148022
729,289,115458,148138
9,324,115410,148131
0,729,115450,148117
529,144,115429,148173
289,484,115455,148187
361,361,115335,148180
81,25,115581,148300
144,1444,115527,148305
361,121,115549,148251
36,121,115598,148359
196,100,115527,148313
25,289,115539,148302
196,3136,115581,148384
1849,49,115575,148404
1,25,115616,148354
576,1849,115643,148466
676,0,115575,148455
1,16,115639,148369
64,256,115635,148435
4,225,115555,148476
441,169,115636,148442
144,1089,115577,148433
25,1369,115591,148407
1849,1089,115629,148377
676,784,115562,148334
2209,3600,115573,148365
1369,81,115485,148185
100,289,115460,148144
16,196,115412,148109
484,361,115428,148021
361,1444,115341,148021
1225,16,115343,148014
2500,5329,115330,147968
4356,2601,115295,147959
576,0,115323,147991
169,961,115246,147918
100,144,115271,147903
4,841,115368,147979
1600,1024,115297,147991
16,289,115355,148051
4,225,115427,148137
36,25,115329,148178
1,25,115388,148184
169,361,115502,148172
484,1089,115373,148203
2601,2704,115347,148120
441,225,115496,148108
729,576,115357,148178
1,784,115398,148160
256,225,115533,148107
9,784,115428,148256
1681,1681,115485,148274
784,100,115579,148148
256,900,115461,148345
100,324,115498,148315
49,400,115511,148255
625,289,115440,148325
9,25,115538,148359
16,225,115550,148253
0,400,115464,148352
25,529,115535,148295
784,256,115550,148209
196,841,115424,148302
2304,2209,115478,148319
225,169,115535,148239
36,144,115392,148352
576,625,115468,148306
36,81,115535,148166
121,1089,115379,148340
361,16,115347,148257
0,441,115367,148158
1369,1156,115295,148181
0,676,115315,148201
9,841,115347,148089
729,144,115267,148121
25,16,115294,148243
1,169,115304,148136
289,16,115265,148121
2025,5329,115293,148205
3249,529,115342,148125
16,324,115308,148076
16,100,115299,148209
0,144,115304,148218
9,529,115338,148190
324,4,115310,148288
49,0,115417,148291
900,2809,115383,148301
1521,289,115394,148377
196,361,115442,148449
324,144,115467,148407
4,144,115489,148434
400,3721,115478,148492
3136,1156,115423,148475
289,0,115472,148477
9,729,115555,148561
169,400,115463,148485
144,225,115505,148532
144,1,115491,148584
49,25,115495,148554
49,441,115512,148556
484,0,115523,148585
1296,3249,115494,148519
1600,225,115521,148532
4,121,115480,148533
100,1225,115475,148450
961,576,115425,148341
784,1024,115336,148388
9,1296,115448,148323
484,1024,115376,148303
5184,5184,115362,148325
784,225,115448,148268
256,9,115357,148234
169,289,115318,148239
4,121,115273,148224
196,2401,115354,148179
1024,4,115370,148259
36,81,115314,148192
324,225,115350,148189
9,441,115336,148245
16,484,115372,148262
484,144,115346,148221
324,841,115355,148248
1089,1156,115388,148235
169,36,115417,148288
81,1024,115362,148334
484,0,115372,148278
81,81,115346,148239
121,1156,115409,148313
400,1,115452,148354
81,784,115412,148448
441,64,115432,148484
64,529,115530,148433
4,1936,115473,148499
1369,121,115497,148498
256,841,115571,148461
676,400,115462,148555
9,169,115518,148576
196,2916,115647,148494
1444,1,115485,148546
9,529,115535,148616
784,400,115615,148497
16,36,115489,148589
144,1024,115659,148673
225,81,115676,148596
36,64,115615,148752
361,289,115611,148821
196,2500,115676,148676
400,1296,115616,148782
1521,169,115662,148831
121,625,115783,148804
1444,1521,115716,148921
144,225,115781,148968
9,1369,115815,148901
841,4,115799,148873
49,9,115875,149074
676,3136,115828,149021
1600,49,115836,148873
196,1681,115867,149122
1156,144,115911,149112
49,400,115921,149189
16,121,115838,149218
4,256,116005,149196
49,36,115977,149233
361,1089,115940,149291
289,64,115994,149292
16,676,115883,149226
196,16,115924,149227
9,529,115951,149238
961,576,115952,149103
0,289,115842,149059
25,1296,115937,149069
1600,1156,115843,148999
49,289,115909,149022
64,100,115929,148935
196,289,115875,149026
289,169,115906,149022
576,900,115956,148886
100,64,115838,149001
9,361,115918,149033
576,576,115991,148913
576,1089,115848,149035
2209,2025,115931,149057
16,1296,115958,148969
784,16,115872,149053
961,2209,115965,149129
729,36,115974,149024
0,625,115916,149064
289,36,115956,149144
121,16,115949,149024
81,289,115961,149148
81,9,115964,149137
256,324,115971,149113
36,9,115973,149154
100,196,115925,149184
625,1296,115979,149171
361,1,115943,149145
100,900,115926,149225
676,225,115962,149160
144,289,115975,149137
900,1444,115972,149219
441,4,115984,149198
49,121,115937,149217
9,1,116039,149205
16,25,116031,149267
169,1089,116003,149297
676,484,116086,149266
1156,1444,116148,149303
400,16,116067,149348
441,441,116121,149307
64,1444,116119,149397
784,0,116109,149366
9,25,116107,149347
144,361,116180,149449
0,484,116177,149418
100,64,116137,149368
0,196,116166,149401
1,729,116177,149413
2116,2601,116137,149387
729,0,116155,149410
100,961,116165,149414
484,0,116185,149430
36,0,116229,149490
529,1764,116165,149467
841,81,116219,149453
256,841,116171,149487
484,196,116255,149556
49,4,116217,149495
36,256,116248,149588
49,4,116232,149586
576,2401,116282,149556
1156,0,116233,149655
676,900,116289,149591
9,1296,116264,149555
676,4,116228,149542
16,324,116304,149500
625,784,116271,149453
196,4,116250,149401
256,1936,116302,149368
676,16,116219,149382
81,0,116192,149309
225,784,116301,149335
121,49,116201,149327
49,576,116267,149323
676,841,116330,149280
841,400,116276,149416
400,576,116281,149329
81,36,116383,149373
0,25,116278,149455
1,4,116365,149482
1,4,116472,149497
64,361,116305,149502
49,49,116401,149534
1,256,116478,149465
169,36,116347,149575
0,4,116461,149597
900,5041,116497,149542
2704,144,116387,149625
