870,-732,535824
1405,-641,410881
1977,-400,160000
2506,-32,1024
955,126,15876
954,-167,27889
909,-561,314721
1485,-633,400689
2093,-308,94864
2572,252,63504
3244,831,690561
3640,1312,1721344
3675,1590,2528100
3071,1536,2359296
2601,1135,1288225
2206,565,319225
1771,28,784
1503,-395,156025
1129,-699,488601
973,-909,826281
990,-1009,1018081
879,-1001,1002001
1400,-880,774400
1966,-587,344569
2495,-150,22500
3152,323,104329
3577,751,564001
3752,1043,1087849
3168,1078,1162084
2039,730,532900
2540,204,41616
3214,12,144
3611,278,77284
3707,664,440896
3116,803,644809
2635,552,304704
2222,59,3481
1806,-448,200704
1547,-849,720801
1133,-1126,1267876
959,-1305,1703025
968,-1370,1876900
861,-1306,1705636
1371,-1114,1240996
1933,-737,543169
2491,-209,43681
3117,352,123904
3548,855,731025
3752,1210,1464100
3196,1298,1684804
2696,1054,1110916
2271,608,369664
1854,164,26896
3561,36,1296
3711,403,162409
3147,783,613089
2650,689,474721
2247,215,46225
1821,-345,119025
1535,-809,654481
1148,-1122,1258884
974,-1298,1684804
958,-1330,1768900
872,-1222,1493284
1327,-981,962361
1882,-566,320356
2457,-10,100
3047,571,326041
3513,1076,1157776
3756,1419,2013561
3258,1488,2214144
2733,1205,1452025
2299,690,476100
1896,157,24649
1582,-267,71289
1179,-573,328329
1000,-783,613089
2650,-709,502681
2235,-283,80089
1817,18,324
1534,-72,5184
1133,-364,132496
983,-643,413449
973,-766,586756
888,-710,504100
1340,-503,253009
1915,-125,15625
2477,381,145161
3050,894,799236
3516,1310,1716100
3756,1556,2421136
3259,1532,2347024
2712,1163,1352569
2283,572,327184
1899,-12,144
1577,-460,211600
1180,-764,583696
1004,-952,906304
984,-1014,1028196
887,-956,913936
1213,-799,638401
1806,-502,252004
1133,-193,37249
975,-121,14641
969,-222,49284
878,-291,84681
1352,-231,53361
1911,24,576
2478,434,188356
3048,871,758641
3499,1230,1512900
3736,1441,2076481
3240,1406,1976836
2703,1056,1115136
2268,507,257049
1902,-21,441
1577,-410,168100
1175,-661,436921
1004,-814,662596
983,-862,743044
910,-810,656100
1240,-676,456976
1822,-424,179776
2441,-41,1681
2887,373,139129
3452,715,511225
3727,945,893025
3324,975,950625
2779,714,509796
2458,266,70756
2952,-61,3721
3452,-21,441
3708,299,89401
3273,566,320356
2711,512,262144
2248,160,25600
1884,-280,78400
1549,-653,426409
1180,-923,851929
1017,-1111,1234321
1002,-1198,1435204
955,-1179,1390041
1240,-1063,1129969
1838,-807,651249
2459,-383,146689
2842,111,12321
3439,558,311364
3706,921,848241
3324,1099,1207801
2731,973,946729
2236,602,362404
1898,192,36864
1531,-112,12544
1176,-309,95481
3192,-206,42436
2586,262,68644
2109,536,287296
1784,308,94864
1479,-157,24649
1162,-611,373321
1036,-934,872356
1066,-1069,1142761
1054,-1021,1042441
1328,-830,688900
1946,-480,230400
2542,36,1296
2857,599,358801
3454,1077,1159929
3657,1426,2033476
3276,1548,2396304
2652,1325,1755625
2157,824,678976
1838,261,68121
1488,-197,38809
1211,-528,278784
1063,-754,568516
1032,-878,770884
1100,-898,806404
1772,-768,589824
1466,-530,280900
1149,-408,166464
1037,-461,212521
1070,-518,268324
1065,-459,210681
1340,-269,72361
1950,68,4624
2540,545,297025
2840,1031,1062961
3437,1396,1948816
3641,1613,2601769
3271,1597,2550409
2653,1246,1552516
2169,639,408321
1852,1,1
1516,-492,242064
1212,-819,670761
1068,-1007,1014049
1066,-1059,1121481
1099,-983,966289
1241,-813,660969
1866,-534,285156
1164,-250,62500
1053,-175,30625
991,-249,62001
1162,-264,69696
1324,-148,21904
1914,96,9216
2508,461,212521
2824,849,720801
3421,1147,1315609
3640,1330,1768900
3223,1309,1713481
2747,989,978121
2206,459,210681
1871,-88,7744
1502,-509,259081
1228,-768,589824
1067,-889,790321
1021,-892,795664
1163,-788,620944
1223,-609,370881
1819,-363,131769
2407,-16,256
2777,376,141376
3373,709,502681
3612,943,889249
3406,1002,1004004
1871,689,474721
2461,106,11236
2782,-219,47961
3405,-69,4761
3627,319,101761
3326,611,373321
2718,563,316969
2236,196,38416
1895,-269,72361
1533,-654,427716
1260,-913,833569
1081,-1061,1125721
1050,-1105,1221025
1103,-1052,1106704
1176,-919,844561
1801,-688,473344
2379,-306,93636
2762,157,24649
3356,582,338724
3598,921,848241
3438,1091,1190281
2776,983,966289
2284,610,372100
1949,163,26569
1579,-181,32761
3610,-152,23104
3357,351,123201
2718,740,547600
2237,575,330625
1916,76,5776
1544,-437,190969
1308,-818,669124
1102,-1041,1083681
1052,-1116,1245456
1129,-1055,1113025
1150,-886,784996
1760,-606,367236
2342,-172,29584
2743,348,121104
3337,824,678976
